Entity,Code,Year,Global temperature anomaly
World,OWID_WRL,1974,0.19527704
World,OWID_WRL,1975,0.25798622
World,OWID_WRL,1976,0.15315439
World,OWID_WRL,1977,0.46905538
World,OWID_WRL,1978,0.36946464
World,OWID_WRL,1979,0.45206377
World,OWID_WRL,1980,0.55548227
World,OWID_WRL,1981,0.61092645
World,OWID_WRL,1982,0.39492694
World,OWID_WRL,1983,0.5848059
World,OWID_WRL,1984,0.4099977
World,OWID_WRL,1985,0.40994808
World,OWID_WRL,1986,0.45628086
World,OWID_WRL,1987,0.6021615
World,OWID_WRL,1988,0.64157176
World,OWID_WRL,1989,0.5388561
World,OWID_WRL,1990,0.7190031
World,OWID_WRL,1991,0.69776946
World,OWID_WRL,1992,0.48398593
World,OWID_WRL,1993,0.52505124
World,OWID_WRL,1994,0.59140015
World,OWID_WRL,1995,0.7350925
World,OWID_WRL,1996,0.63479936
World,OWID_WRL,1997,0.7790312
World,OWID_WRL,1998,0.93592083
World,OWID_WRL,1999,0.68199766
World,OWID_WRL,2000,0.6894687
World,OWID_WRL,2001,0.8474103
World,OWID_WRL,2002,0.90111876
World,OWID_WRL,2003,0.9022393
World,OWID_WRL,2004,0.826385
World,OWID_WRL,2005,0.9662671
World,OWID_WRL,2006,0.93028426
World,OWID_WRL,2007,0.949474
World,OWID_WRL,2008,0.82314956
World,OWID_WRL,2009,0.9539675
World,OWID_WRL,2010,1.0376073
World,OWID_WRL,2011,0.8965769
World,OWID_WRL,2012,0.93547153
World,OWID_WRL,2013,0.98260313
World,OWID_WRL,2014,1.031819
World,OWID_WRL,2015,1.1819104
World,OWID_WRL,2016,1.2887791
World,OWID_WRL,2017,1.2004167
World,OWID_WRL,2018,1.1171584
World,OWID_WRL,2019,1.2513031
World,OWID_WRL,2020,1.2802037
World,OWID_WRL,2021,1.1312726
World,OWID_WRL,2022,1.1658032
World,OWID_WRL,2023,1.4737644
World,OWID_WRL,2024,1.5329651
World,OWID_WRL,2025,1.4119903
World,OWID_WRL,2026,1.4060807
